REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT
6/9/18 4:34,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
5/17/18 0:25,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 15TH STREET NW,2
1/29/18 11:31,DAY,THEFT/OTHER,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2
4/7/18 9:19,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF H STREET NW,2
4/7/18 17:31,EVENING,THEFT/OTHER,OTHERS,700 - 723 BLOCK OF 14TH STREET NW,1
1/11/18 22:15,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
3/17/18 22:14,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
5/21/18 12:28,DAY,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 14TH STREET NW,1
2/27/18 13:38,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,1
5/14/18 23:59,MIDNIGHT,THEFT F/AUTO,OTHERS,600 - 699 BLOCK OF 15TH STREET NW,2
1/11/18 19:50,EVENING,THEFT F/AUTO,OTHERS,800 - 899 BLOCK OF VERMONT AVENUE NW,2
5/9/18 17:23,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF PENNSYLVANIA AVENUE NW,1
5/1/18 14:55,DAY,BURGLARY,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
1/16/18 21:19,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
4/16/18 18:12,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1
2/11/18 4:33,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 15TH STREET NW,2
2/23/18 3:13,MIDNIGHT,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2
2/15/18 0:46,MIDNIGHT,ROBBERY,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2
4/14/18 6:58,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
5/31/18 11:48,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2
5/31/18 17:58,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
1/26/18 19:55,EVENING,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
1/31/18 20:57,EVENING,BURGLARY,OTHERS,800 - 899 BLOCK OF 15TH STREET NW,2
6/11/18 13:29,DAY,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
6/28/18 0:12,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,1400 - 1499 BLOCK OF H STREET NW,2
6/24/18 20:00,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1
6/25/18 12:41,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF PENNSYLVANIA AVENUE NW,1
