FID,fire_zone_type,place_fips,place_name,neighborhood,x,y
8492793,SRA,59346,Ramona CDP,,-116.907695,33.009096
8492794,SRA,59346,Ramona CDP,,-116.9002901,33.00888714
8492795,,59346,Ramona CDP,,-116.9053354,33.01392263
8492801,SRA,59346,Ramona CDP,,-116.8533709,33.09015451
8492802,SRA,59346,Ramona CDP,,-116.883094,33.0736725
8492803,SRA,59346,Ramona CDP,,-116.88352,33.07179319
8492804,SRA,59346,Ramona CDP,,-116.8636336,33.07409505
8492805,SRA,59346,Ramona CDP,,-116.8684548,33.07529873
8492806,SRA,59346,Ramona CDP,,-116.8704827,33.07852674
8492807,SRA,59346,Ramona CDP,,-116.871295,33.064578
8492808,,59346,Ramona CDP,,-116.8669635,33.0648685
8492809,SRA,59346,Ramona CDP,,-116.8674865,33.0654585
8492810,,59346,Ramona CDP,,-116.8645138,33.06614697
8492811,SRA,59346,Ramona CDP,,-116.8627469,33.0675468
8492812,SRA,59346,Ramona CDP,,-116.8713793,33.07052462
8492813,,59346,Ramona CDP,,-116.8546655,33.0659035
8492814,SRA,59346,Ramona CDP,,-116.8612274,33.06753151
8492815,SRA,59346,Ramona CDP,,-116.8545963,33.07120504
8492816,SRA,59346,Ramona CDP,,-116.84013,33.0786265
8492817,SRA,59346,Ramona CDP,,-116.838082,33.08221092
8492818,SRA,59346,Ramona CDP,,-116.8160961,33.06558933
8492822,SRA,59346,Ramona CDP,,-116.8817145,33.04970736
8492823,,59346,Ramona CDP,,-116.8708671,33.05654126
8492824,,59346,Ramona CDP,,-116.8521788,33.0619784
8492825,,59346,Ramona CDP,,-116.86044,33.0626055
8492826,,59346,Ramona CDP,,-116.8647588,33.04690816
8492827,,59346,Ramona CDP,,-116.8691805,33.0480035
8492828,,59346,Ramona CDP,,-116.8652625,33.05461101
8492829,,59346,Ramona CDP,,-116.8589546,33.04647517
8492830,LRA,59346,Ramona CDP,,-116.8908178,33.04395743
8492831,,59346,Ramona CDP,,-116.877138,33.044226
8492832,,59346,Ramona CDP,,-116.8852294,33.03516385
8492833,,59346,Ramona CDP,,-116.8762475,33.03129183
8492834,,59346,Ramona CDP,,-116.8817873,33.03203852
8492835,,59346,Ramona CDP,,-116.8775781,33.03375035
8492836,,59346,Ramona CDP,,-116.8656253,33.03781862
8492837,,59346,Ramona CDP,,-116.8582063,33.03691171
8492838,,59346,Ramona CDP,,-116.859382,33.04359103
8492839,,59346,Ramona CDP,,-116.8585991,33.04526736
8492840,,59346,Ramona CDP,,-116.8645715,33.028547
8492841,,59346,Ramona CDP,,-116.8694602,33.03239852
8492842,,59346,Ramona CDP,,-116.8681598,33.03327768
8492843,,59346,Ramona CDP,,-116.8684932,33.03499392
8492844,,59346,Ramona CDP,,-116.8675115,33.035222
8492845,,59346,Ramona CDP,,-116.8675868,33.03550473
8492846,,59346,Ramona CDP,,-116.8664517,33.03553591
8492847,,59346,Ramona CDP,,-116.8593205,33.0296925
8492848,,59346,Ramona CDP,,-116.8593942,33.0309472
8492849,,59346,Ramona CDP,,-116.8518311,33.03323544
8492850,,59346,Ramona CDP,,-116.8591519,33.0351342
8492851,,59346,Ramona CDP,,-116.8413955,33.054984
8492852,,59346,Ramona CDP,,-116.8407595,33.057139
8492853,,59346,Ramona CDP,,-116.849143,33.0631555
8492854,SRA,59346,Ramona CDP,,-116.8367285,33.0532975
8492855,SRA,59346,Ramona CDP,,-116.8236847,33.05798497
8492856,SRA,59346,Ramona CDP,,-116.846497,33.0389895
8492857,SRA,59346,Ramona CDP,,-116.842129,33.041173
8492858,SRA,59346,Ramona CDP,,-116.8450508,33.04278722
8492859,,59346,Ramona CDP,,-116.840545,33.029847
8492860,,59346,Ramona CDP,,-116.8495813,33.0322092
8492861,,59346,Ramona CDP,,-116.8849353,33.01894374
8492862,,59346,Ramona CDP,,-116.890592,33.01978978
8492863,,59346,Ramona CDP,,-116.8791981,33.02193576
8492864,,59346,Ramona CDP,,-116.8789165,33.024492
8492865,,59346,Ramona CDP,,-116.8768058,33.02609798
8492866,,59346,Ramona CDP,,-116.8807618,33.02627128
8492867,,59346,Ramona CDP,,-116.8767965,33.026442
8492868,,59346,Ramona CDP,,-116.8748046,33.02694038
8492869,LRA,59346,Ramona CDP,,-116.8641725,33.023344
8492870,,59346,Ramona CDP,,-116.8681933,33.02449427
8492874,,59346,Ramona CDP,,-116.8453685,33.017909
8492875,,59346,Ramona CDP,,-116.8452575,33.02065177
8492876,,59346,Ramona CDP,,-116.8471554,33.02349209
8492877,SRA,59346,Ramona CDP,,-116.8484594,33.01172097
8598387,SRA,59346,Ramona CDP,,-116.9066708,33.06731403
8598491,,59346,Ramona CDP,,-116.8962349,33.03298524
8598492,,59346,Ramona CDP,,-116.897809,33.0361385
8598493,,59346,Ramona CDP,,-116.898265,33.03613338
8598498,SRA,59346,Ramona CDP,,-116.9430688,33.0162375
8598500,SRA,59346,Ramona CDP,,-116.923774,33.0220295
8598501,SRA,59346,Ramona CDP,,-116.9243545,33.02249
8598502,SRA,59346,Ramona CDP,,-116.932569,33.013447
8598504,SRA,59346,Ramona CDP,,-116.9081109,33.01144619
8598505,,59346,Ramona CDP,,-116.906855,33.0121285
8598516,SRA,59346,Ramona CDP,,-116.8877636,33.07116529
8598517,SRA,59346,Ramona CDP,,-116.8861558,33.07181923
8598518,SRA,59346,Ramona CDP,,-116.8939085,33.07312585
8598519,SRA,59346,Ramona CDP,,-116.8741108,33.06486592
8598520,SRA,59346,Ramona CDP,,-116.8832735,33.07096817
8598521,SRA,59346,Ramona CDP,,-116.8629925,33.0739515
8598522,SRA,59346,Ramona CDP,,-116.8599756,33.07440929
8598523,SRA,59346,Ramona CDP,,-116.868805,33.0642625
8598524,SRA,59346,Ramona CDP,,-116.860525,33.069067
8598525,SRA,59346,Ramona CDP,,-116.8374776,33.09281914
8598526,,59346,Ramona CDP,,-116.846223,33.067678
8598527,,59346,Ramona CDP,,-116.8449541,33.0696072
8598529,SRA,59346,Ramona CDP,,-116.8849177,33.05596996
8598530,SRA,59346,Ramona CDP,,-116.8893065,33.0568545
8598531,LRA,59346,Ramona CDP,,-116.8891535,33.04629
8598532,SRA,59346,Ramona CDP,,-116.8857415,33.0547015
8598533,LRA,59346,Ramona CDP,,-116.8794842,33.04653162
8598534,SRA,59346,Ramona CDP,,-116.8803921,33.05394998
8598535,SRA,59346,Ramona CDP,,-116.8682024,33.06084525
8598536,,59346,Ramona CDP,,-116.8621952,33.06342476
8598537,,59346,Ramona CDP,,-116.8522057,33.06002904
8598538,,59346,Ramona CDP,,-116.8683548,33.0492636
8598539,,59346,Ramona CDP,,-116.8651542,33.04972591
8598540,,59346,Ramona CDP,,-116.866795,33.0543065
8598541,,59346,Ramona CDP,,-116.8588431,33.04586038
8598542,,59346,Ramona CDP,,-116.8545178,33.05270617
8598543,,59346,Ramona CDP,,-116.8857895,33.0409545
8598544,,59346,Ramona CDP,,-116.8939385,33.041329
8598545,LRA,59346,Ramona CDP,,-116.8942965,33.0453965
8598546,,59346,Ramona CDP,,-116.878853,33.045229
8598547,,59346,Ramona CDP,,-116.8678025,33.037728
8598548,,59346,Ramona CDP,,-116.8657255,33.0390165
8598549,,59346,Ramona CDP,,-116.869978,33.0422145
8598550,,59346,Ramona CDP,,-116.866453,33.04348431
8598551,,59346,Ramona CDP,,-116.8637978,33.04416603
8598552,,59346,Ramona CDP,,-116.8550438,33.04130353
8598553,SRA,59346,Ramona CDP,,-116.852573,33.042548
8598554,,59346,Ramona CDP,,-116.8661333,33.02975045
8598555,,59346,Ramona CDP,,-116.8638719,33.03264079
8598556,,59346,Ramona CDP,,-116.868164,33.0328565
8598557,,59346,Ramona CDP,,-116.8689265,33.0334
8598558,,59346,Ramona CDP,,-116.8680061,33.03344668
8598559,,59346,Ramona CDP,,-116.8709562,33.03381802
8598560,,59346,Ramona CDP,,-116.865824,33.0351045
8598561,,59346,Ramona CDP,,-116.8564225,33.030201
8598562,,59346,Ramona CDP,,-116.8421985,33.060007
8598563,,59346,Ramona CDP,,-116.8419265,33.0636305
8598565,,59346,Ramona CDP,,-116.8503617,33.04112923
8598566,SRA,59346,Ramona CDP,,-116.8352298,33.04404327
8598567,,59346,Ramona CDP,,-116.8430106,33.03084253
8598568,SRA,59346,Ramona CDP,,-116.828404,33.0441565
8598569,,59346,Ramona CDP,,-116.8902169,33.02256649
8598570,,59346,Ramona CDP,,-116.8879005,33.02313558
8598571,,59346,Ramona CDP,,-116.8840809,33.02452566
8598572,,59346,Ramona CDP,,-116.8787807,33.02141102
8598573,,59346,Ramona CDP,,-116.8819355,33.0219475
8598574,,59346,Ramona CDP,,-116.8808735,33.0239741
8598575,,59346,Ramona CDP,,-116.8742067,33.02428654
8598576,,59346,Ramona CDP,,-116.873826,33.015265
8704605,,59346,Ramona CDP,,-116.911801,33.0402395
8704606,,59346,Ramona CDP,,-116.8969357,33.02998885
8704607,,59346,Ramona CDP,,-116.8966585,33.033431
8704609,,59346,Ramona CDP,,-116.9498512,33.02141475
8704610,,59346,Ramona CDP,,-116.9523891,33.0247111
8704612,,59346,Ramona CDP,,-116.9392605,33.0186845
8704613,SRA,59346,Ramona CDP,,-116.9506045,33.01450739
8704615,SRA,59346,Ramona CDP,,-116.9470692,33.01697355
8704617,SRA,59346,Ramona CDP,,-116.932676,33.02016138
8704618,SRA,59346,Ramona CDP,,-116.928806,33.0128895
8704619,SRA,59346,Ramona CDP,,-116.938144,33.013453
8704620,SRA,59346,Ramona CDP,,-116.9296015,33.0140175
8704621,,59346,Ramona CDP,,-116.8985806,33.02627432
8704622,,59346,Ramona CDP,,-116.911583,33.0100565
8704623,,59346,Ramona CDP,,-116.9076836,33.01312931
8704624,SRA,59346,Ramona CDP,,-116.9052491,33.00987471
8704632,SRA,59346,Ramona CDP,,-116.8629796,33.07434784
8704633,SRA,59346,Ramona CDP,,-116.865109,33.078176
8704634,SRA,59346,Ramona CDP,,-116.8535731,33.07642386
8704635,SRA,59346,Ramona CDP,,-116.8618995,33.06892
